name,genotype,rel_imm
bivalent,hpv31,0.73
bivalent,hpv16,1
bivalent,hpv59,0
bivalent,hpv52,0.17
bivalent,hpv18,1
bivalent,hpv35,0
bivalent,hpv58,0.05
bivalent,hpv56,0.26
bivalent,hpv39,0
bivalent,lr,0
quadrivalent,hpv31,0.46
quadrivalent,hpv16,1
quadrivalent,hpv59,0
quadrivalent,hpv52,0.18
quadrivalent,hpv18,1
quadrivalent,hpv35,0
quadrivalent,hpv58,0
quadrivalent,hpv56,0.26
quadrivalent,hpv39,0
quadrivalent,lr,0.25
nonavalent,hpv31,1
nonavalent,hpv16,1
nonavalent,hpv59,0
nonavalent,hpv52,1
nonavalent,hpv18,1
nonavalent,hpv35,0
nonavalent,hpv58,1
nonavalent,hpv56,0
nonavalent,hpv39,0
nonavalent,lr,0.5
bivalent_without,hpv31,0
bivalent_without,hpv16,1
bivalent_without,hpv59,0
bivalent_without,hpv52,0
bivalent_without,hpv18,1
bivalent_without,hpv35,0
bivalent_without,hpv58,0
bivalent_without,hpv56,0
bivalent_without,hpv39,0
bivalent_without,lr,0.25
quadrivalent_without,hpv31,0
quadrivalent_without,hpv16,1
quadrivalent_without,hpv59,0
quadrivalent_without,hpv52,0
quadrivalent_without,hpv18,1
quadrivalent_without,hpv35,0
quadrivalent_without,hpv58,0
quadrivalent_without,hpv56,0
quadrivalent_without,hpv39,0
quadrivalent_without,lr,0.5